cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	nt_lekon	nt_simalur	Concepticon_Gloss	Concepticon_ID	concept_url
the Mentawai (Pagai & Sipora) list (no date)	485	toenam alito	NA	aansteken (licht)	to put on (light)	menyalakan (sinar)	293	295	-	FALSE												LIGHT (IGNITE)	737	https://concepticon.clld.org/parameters/737
the Mentawai (Pagai & Sipora) list (no date)	486	peˈake alito	NA	uitdoen (licht)	to put off (light)	memadamkan (sinar)	294	296	-	FALSE												EXTINGUISH	127	https://concepticon.clld.org/parameters/127
the Mentawai (Pagai & Sipora) list (no date)	488	tilakboek	NA	bedgordijn	bed curtain	kelambu	297	298	-	FALSE												CURTAIN	2621	https://concepticon.clld.org/parameters/2621
the Mentawai (Pagai & Sipora) list (no date)	489	oedanan	NA	zitbankje	bench, seat	bangku untuk duduk	298	299	-	FALSE												BENCH	2584	https://concepticon.clld.org/parameters/2584
the Mentawai (Pagai & Sipora) list (no date)	493	koali	16	pan (ijzeren)	pot (iron)	kuali (besi), panci (besi)	310	312	-	FALSE							imported					POT	1462	https://concepticon.clld.org/parameters/1462
the Mentawai (Pagai & Sipora) list (no date)	494	pario	16	pan (aarden)	pot (earthenware)	panci, kuali (tanah liat)	311	313	-	FALSE							imported					CLAY POT	2055	https://concepticon.clld.org/parameters/2055
the Mentawai (Pagai & Sipora) list (no date)	499	poelokat	NA	drinknap	drinking bowl	tempat minum	315	317	314	FALSE												CUP	476	https://concepticon.clld.org/parameters/476
the Mentawai (Pagai & Sipora) list (no date)	505	pisau	NA	mes	knife	pisau	299	300	317	FALSE												KNIFE	1352	https://concepticon.clld.org/parameters/1352
the Mentawai (Pagai & Sipora) list (no date)	505	palite	NA	mes	knife	pisau	299	300	317	FALSE												KNIFE	1352	https://concepticon.clld.org/parameters/1352
the Mentawai (Pagai & Sipora) list (no date)	506	têgele	NA	hakmes	chopper	parang	300	301	318	FALSE												CLEAVER	3067	https://concepticon.clld.org/parameters/3067
the Mentawai (Pagai & Sipora) list (no date)	507	pisau	NA	dolk (kris)	kris	keris	302	304	-	FALSE												SWORD	1535	https://concepticon.clld.org/parameters/1535
the Mentawai (Pagai & Sipora) list (no date)	507	palite	NA	dolk (kris)	kris	keris	302	304	-	FALSE												SWORD	1535	https://concepticon.clld.org/parameters/1535
the Mentawai (Pagai & Sipora) list (no date)	508	palite	NA	dolk (badi-badi)	dagger	golok	303	305	-	FALSE												SMALL KNIFE	3233	https://concepticon.clld.org/parameters/3233
the Mentawai (Pagai & Sipora) list (no date)	510	sisip	NA	lepel	spoon	sendok	318	319	319	FALSE												SPOON	1378	https://concepticon.clld.org/parameters/1378
the Mentawai (Pagai & Sipora) list (no date)	511	sese͡iloe	NA	scheplepel, schepper	ladle	ciduk, sendok	319	320	320	FALSE												LADLE	2657	https://concepticon.clld.org/parameters/2657
the Mentawai (Pagai & Sipora) list (no date)	513	manga͡isoe	NA	water halen	to fetch water	mengambil air	-	583	322	FALSE												DRAW (WATER)	1911	https://concepticon.clld.org/parameters/1911
the Mentawai (Pagai & Sipora) list (no date)	514	karadja	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			karadja									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	514	ore oegad	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			ore oegad									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	514	gara'ra'	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			gara'ra'									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	514	goeroegou	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			goeroegou									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	514	long	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			long									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	514	poeagau	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			poeagau									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	514	loeloemai	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			loeloemai									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	514	bâkoeloe	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			bâkoeloe									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	514	boeloe'boe'	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			boeloe'boe'									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	514	bolo'bo'	17	mand (grote, kleine, soorten)	basket (all sorts of)	keranjang (bermacam-macam)	320	321	323	FALSE			bolo'bo'									BASKET	1539	https://concepticon.clld.org/parameters/1539
the Mentawai (Pagai & Sipora) list (no date)	515	alito	NA	lamp	lamp	lampu	321	322	324	FALSE												LAMP	625	https://concepticon.clld.org/parameters/625
the Mentawai (Pagai & Sipora) list (no date)	516	toenam	NA	lampepit	lamp wick	sumbu lampu	322	323	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	517	oˈong	NA	fakkel	torch	suluh	323	324	325	FALSE												TORCH	1919	https://concepticon.clld.org/parameters/1919
the Mentawai (Pagai & Sipora) list (no date)	517	kîsou	NA	fakkel	torch	suluh	323	324	325	FALSE												TORCH	1919	https://concepticon.clld.org/parameters/1919
the Mentawai (Pagai & Sipora) list (no date)	525-527	maneoe	NA	koken <unsp.>	to cook	memasak	328	329	330	FALSE												COOK (SOMETHING)	1100	https://concepticon.clld.org/parameters/1100
the Mentawai (Pagai & Sipora) list (no date)	528	masigoreng	NA	braden	to bake, to grill, to fry	membakar, panggang menggoreng (dengan minyak)	329	330	-	FALSE												BAKE	183	https://concepticon.clld.org/parameters/183
the Mentawai (Pagai & Sipora) list (no date)	529	ipoekpoek	NA	poffen	to roast (in ashes)	bembam	330	331	331	FALSE												ROAST (SOMETHING)	1962	https://concepticon.clld.org/parameters/1962
the Mentawai (Pagai & Sipora) list (no date)	530	râˈ	NA	roosteren	to grill, to roast	panggang	331	332	332	FALSE												ROAST (SOMETHING)	1962	https://concepticon.clld.org/parameters/1962
the Mentawai (Pagai & Sipora) list (no date)	534	kan	NA	spijs(eten)	food	makanan	332	333	336	FALSE												FOOD	256	https://concepticon.clld.org/parameters/256
the Mentawai (Pagai & Sipora) list (no date)	536	go͡elai	NA	toespijs	side-dish	lauk-pauk	334	335	-	FALSE												PREPARED FOOD	3542	https://concepticon.clld.org/parameters/3542
the Mentawai (Pagai & Sipora) list (no date)	537	go͡elai	NA	groente	vegetables	sayuran	344	346	338	FALSE												VEGETABLES	924	https://concepticon.clld.org/parameters/924
the Mentawai (Pagai & Sipora) list (no date)	539	iba	NA	vlees (rauw)	meat (raw)	daging (mentah)	335	336	-	FALSE												FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615
the Mentawai (Pagai & Sipora) list (no date)	539	akoela	NA	vlees (rauw)	meat (raw)	daging (mentah)	335	336	-	FALSE												FLESH OR MEAT	2615	https://concepticon.clld.org/parameters/2615
the Mentawai (Pagai & Sipora) list (no date)	540	siniboˈ	18	gedroogd vlees	dried meat	dendeng	335	336	340	FALSE			tibo	to dry over a fire			derived from “tibo”					MEAT	634	https://concepticon.clld.org/parameters/634
the Mentawai (Pagai & Sipora) list (no date)	541	iba	19	vis (in het algemeen of in tegenstelling van vlees)	fish	ikan	336/404	337	341	TRUE			goeloek	the ray fish			The ray fist in Malay is called “pare”					FISH	227	https://concepticon.clld.org/parameters/227
the Mentawai (Pagai & Sipora) list (no date)	553	satsat	NA	wan	sieve for rice	nyiru	-	340	352	FALSE												SIEVE (TOOL)	3353	https://concepticon.clld.org/parameters/3353
the Mentawai (Pagai & Sipora) list (no date)	563	garap	NA	zout (subst.)	salt	garam	343	345	360	TRUE												SALT	1274	https://concepticon.clld.org/parameters/1274
the Mentawai (Pagai & Sipora) list (no date)	565	keliu	NA	sarong	sarong	sarung	415	418	369	FALSE												SARONG	2413	https://concepticon.clld.org/parameters/2413
the Mentawai (Pagai & Sipora) list (no date)	567	sokkit	NA	broek	trousers	celana	416	419	371	FALSE												TROUSERS	809	https://concepticon.clld.org/parameters/809
the Mentawai (Pagai & Sipora) list (no date)	569/570	lêppei	NA	baadje <unsp.>			-	420	372	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	571/572	kirit	NA	hoofddoek <unsp.>			-	421	373	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	576	sipsip	NA	ring	ring	cincin	419	423	-	FALSE												RING	1374	https://concepticon.clld.org/parameters/1374
the Mentawai (Pagai & Sipora) list (no date)	577/578	lai-lai	NA	buikband <unsp.>			421	425	-	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	579	letsoe	20	band of ring (arm)	arm ring, bracelet	gelang tangan	420	424	377	FALSE			poetoe	a necklack of beads								BRACELET	1754	https://concepticon.clld.org/parameters/1754
the Mentawai (Pagai & Sipora) list (no date)	579	raksok	20	band of ring (arm)	arm ring, bracelet	gelang tangan	420	424	377	FALSE			poetoe	a necklack of beads								BRACELET	1754	https://concepticon.clld.org/parameters/1754
the Mentawai (Pagai & Sipora) list (no date)	580	letsoe	20	band of ring (enkel)	anklet	gelang laki	420	424	377	FALSE			poetoe	a necklack of beads								NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	580	raksok	20	band of ring (enkel)	anklet	gelang laki	420	424	377	FALSE			poetoe	a necklack of beads								NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	588	kabit	NA	schaamgordel (soorten)	loin cloth	cawat	425	429	382	FALSE												LOINCLOTH	1965	https://concepticon.clld.org/parameters/1965
the Mentawai (Pagai & Sipora) list (no date)	589	komang	NA	katoenen weefsel (inheems, europees)	cotton fabric (local, European)	tenunan kapas (asli, Eropa)	426	430	383	FALSE												CLOTH	1616	https://concepticon.clld.org/parameters/1616
the Mentawai (Pagai & Sipora) list (no date)	600	birak	NA	vlechten	to weave, to plait	menganyam	430	432	388	FALSE												BRAID (VERB) OR WEAVE (BASKET)	3294	https://concepticon.clld.org/parameters/3294
the Mentawai (Pagai & Sipora) list (no date)	601	po͡etere	NA	touwdraaien	to twine a rope	memintal tali	431	433	389	FALSE												SPIN	121	https://concepticon.clld.org/parameters/121
the Mentawai (Pagai & Sipora) list (no date)	602	tali	NA	touw	rope	tali	558	565	390	TRUE												ROPE	1218	https://concepticon.clld.org/parameters/1218
the Mentawai (Pagai & Sipora) list (no date)	603	poele	NA	garen	thread, yarn	benang	559	566	-	FALSE												THREAD	1161	https://concepticon.clld.org/parameters/1161
the Mentawai (Pagai & Sipora) list (no date)	604	manoebai	21	knopen (van netten, een knoop leggen)	to knot, to knit	merajut, menyirat	561	568	391	FALSE			manoebai				of nets					KNOT	760	https://concepticon.clld.org/parameters/760
the Mentawai (Pagai & Sipora) list (no date)	604	peu-peu	21	knopen (van netten, een knoop leggen)	to knot, to knit	merajut, menyirat	561	568	391	FALSE			manoebai				of nets					KNOT	760	https://concepticon.clld.org/parameters/760
the Mentawai (Pagai & Sipora) list (no date)	608	siloegoeˈ	NA	zwaard (houwer)	sabre	parang, kelewang	301	302	-	FALSE												SWORD	1535	https://concepticon.clld.org/parameters/1535
the Mentawai (Pagai & Sipora) list (no date)	609	sakboek	NA	schede	sheath	sarung pedang	-	303	394	FALSE												SHEATH	3424	https://concepticon.clld.org/parameters/3424
the Mentawai (Pagai & Sipora) list (no date)	613	rou-rou	NA	boog	bow	busur	306	309	398	FALSE												BOW	994	https://concepticon.clld.org/parameters/994
the Mentawai (Pagai & Sipora) list (no date)	615	silogoei	NA	pijl	arrow	anak panah	306	309	399	FALSE												ARROW	977	https://concepticon.clld.org/parameters/977
the Mentawai (Pagai & Sipora) list (no date)	617	korabbi	NA	schild	shield	perisai	307	310	401	FALSE												SHIELD	1064	https://concepticon.clld.org/parameters/1064
the Mentawai (Pagai & Sipora) list (no date)	620	beboetoeet	22	geweer	rifle	bedil (senapan)	621	635	402	FALSE				thunderer								PISTOL	3881	https://concepticon.clld.org/parameters/3881
the Mentawai (Pagai & Sipora) list (no date)	624	baba͡idjo	NA	slinger	sling	ali-ali	309	311	406	FALSE												SLING	387	https://concepticon.clld.org/parameters/387
the Mentawai (Pagai & Sipora) list (no date)	626	pasaggak	NA	oorlog	war	perang	616	631	408	FALSE												WAR	935	https://concepticon.clld.org/parameters/935
the Mentawai (Pagai & Sipora) list (no date)	627	saggak	NA	vijand	enemy	musuh	617	632	409	FALSE												ENEMY	1358	https://concepticon.clld.org/parameters/1358
the Mentawai (Pagai & Sipora) list (no date)	629	pasaggak	NA	koppensnellen	to go head hunting	mengayau	625	639	410	FALSE												HUNT	1435	https://concepticon.clld.org/parameters/1435
the Mentawai (Pagai & Sipora) list (no date)	630	paˈabat	NA	vrede	peace	damai	626	640	-	FALSE												PEACE	1338	https://concepticon.clld.org/parameters/1338
the Mentawai (Pagai & Sipora) list (no date)	630	paˈaban	NA	vrede	peace	damai	626	640	-	FALSE												PEACE	1338	https://concepticon.clld.org/parameters/1338
the Mentawai (Pagai & Sipora) list (no date)	634	taˈiom	23	zich overwonnen geven	to surrender	menyerah	627	641	-	FALSE				he cannot stand it any longer								SURRENDER	1696	https://concepticon.clld.org/parameters/1696
the Mentawai (Pagai & Sipora) list (no date)	635	magege	NA	overwinning	victory	kemenangan	628	642	-	FALSE												VICTORY	783	https://concepticon.clld.org/parameters/783
the Mentawai (Pagai & Sipora) list (no date)	637	pakoiniet	NA	gezant	delegate	utusan	631	645	415	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	645	toetoera	NA	pootstok	dibble	tugal	436	438	418	FALSE												DIBBLE STICK	3155	https://concepticon.clld.org/parameters/3155
the Mentawai (Pagai & Sipora) list (no date)	652	papâkoeroe	NA	patjoel, hak	hoe	pacul	441	443	423	FALSE												HOE	284	https://concepticon.clld.org/parameters/284
the Mentawai (Pagai & Sipora) list (no date)	653	mone	NA	tuin	garden	kebun	442	444	-	FALSE												GARDEN	586	https://concepticon.clld.org/parameters/586
the Mentawai (Pagai & Sipora) list (no date)	659	sa͡ibri	NA	omheining	fence, hedge	pagar	446	448	427	FALSE												FENCE	1690	https://concepticon.clld.org/parameters/1690
the Mentawai (Pagai & Sipora) list (no date)	660	oeremen	NA	gewas	vegetation	tumbuhan	447	449	-	FALSE												PLANT (VEGETATION)	653	https://concepticon.clld.org/parameters/653
the Mentawai (Pagai & Sipora) list (no date)	662/663	mangarap	NA	zaaien <unsp.>	sow	tabur	448	450	429	FALSE												SOW SEEDS	748	https://concepticon.clld.org/parameters/748
the Mentawai (Pagai & Sipora) list (no date)	664	karamen	NA	zaad	seed	benih	449	451	-	TRUE												SEED	714	https://concepticon.clld.org/parameters/714
the Mentawai (Pagai & Sipora) list (no date)	665	mangoerep	NA	planten	to plant	menanam	450	452	430	FALSE												PLANT (SOMETHING)	1486	https://concepticon.clld.org/parameters/1486
the Mentawai (Pagai & Sipora) list (no date)	668	mara	NA	rijp	ripe	masak, matang	451	453	433	FALSE												RIPE	178	https://concepticon.clld.org/parameters/178
the Mentawai (Pagai & Sipora) list (no date)	669	mata	NA	onrijp	unripe	belum masak, belum matang, mentah	452	454	434	FALSE												UNRIPE	1958	https://concepticon.clld.org/parameters/1958
the Mentawai (Pagai & Sipora) list (no date)	672	moeboeat kadjoe	NA	oogsten (van boomvruchten)	to gather	mengumpulkan (buah-buahan)	453	455	-	FALSE												HARVEST CROPS	1827	https://concepticon.clld.org/parameters/1827
the Mentawai (Pagai & Sipora) list (no date)	679	atimoen	NA	komkommer	cucumber	ketimun	459	461	440	FALSE												CUCUMBER	496	https://concepticon.clld.org/parameters/496
the Mentawai (Pagai & Sipora) list (no date)	681	oebe	NA	tabak	tobacco	tembakau	460	462	365	FALSE												TOBACCO	974	https://concepticon.clld.org/parameters/974
the Mentawai (Pagai & Sipora) list (no date)	682	kole	NA	suikerriet	sugarcane	tebu	461	463	442	FALSE												SUGAR CANE	146	https://concepticon.clld.org/parameters/146
the Mentawai (Pagai & Sipora) list (no date)	683	katsang	NA	aardnoot	peanut	kacang tanah	462	464	-	FALSE												GROUNDNUT (PEANUT)	595	https://concepticon.clld.org/parameters/595
the Mentawai (Pagai & Sipora) list (no date)	685	laboe	NA	kalebas	gourd	labu kendi	463	466	444	FALSE												GOURD	411	https://concepticon.clld.org/parameters/411
the Mentawai (Pagai & Sipora) list (no date)	686	gobi	NA	oebi (soorten)	species of tuber	ubi (macam-macam ubi)	464	467	445	FALSE												SWEET POTATO	159	https://concepticon.clld.org/parameters/159
the Mentawai (Pagai & Sipora) list (no date)	686	laikit	NA	oebi (soorten)	species of tuber	ubi (macam-macam ubi)	464	467	445	FALSE												SWEET POTATO	159	https://concepticon.clld.org/parameters/159
the Mentawai (Pagai & Sipora) list (no date)	688	paratsi	NA	cassave, katela	cassava	ketela	465	468	448	FALSE												CASSAVA	925	https://concepticon.clld.org/parameters/925
the Mentawai (Pagai & Sipora) list (no date)	690	raro	NA	spaanse peper, tjabe	red pepper	cabe	466	469	449	FALSE												CHILI PEPPER	919	https://concepticon.clld.org/parameters/919
the Mentawai (Pagai & Sipora) list (no date)	691-693	toitet	NA	kokos <unsp.>			467	470	450	FALSE												NA	NA	NA
the Mentawai (Pagai & Sipora) list (no date)	695	pooela	NA	arenpalm, arenboom	sugarpalm, aren tree	pohon aren	468	471	452	FALSE												SUGAR PALM	3029	https://concepticon.clld.org/parameters/3029
the Mentawai (Pagai & Sipora) list (no date)	697	soeat pooela	NA	legen (ongegist)	palm juice (unfermented)	nira	470	473	366	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	702	bola	NA	nipah	nipa palm	pohon nipah	481	485	454	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	703	saggai	NA	sago boem	sago tree	pohon sagu	482	486	359	FALSE												SAGO PALM	2372	https://concepticon.clld.org/parameters/2372
the Mentawai (Pagai & Sipora) list (no date)	704	saggai	NA	sago	sago	sagu	483	487	-	FALSE												SAGO	2270	https://concepticon.clld.org/parameters/2270
the Mentawai (Pagai & Sipora) list (no date)	705	bâtara	NA	katoen	cotton	kapas	479	483	-	FALSE												COTTON	1850	https://concepticon.clld.org/parameters/1850
the Mentawai (Pagai & Sipora) list (no date)	707	padat	NA	pandan	pandanus	pandan	473	477	456	FALSE												PANDANUS	469	https://concepticon.clld.org/parameters/469
the Mentawai (Pagai & Sipora) list (no date)	708	ambangan	NA	mangga	mango	mangga	474	478	457	FALSE												MANGO	2398	https://concepticon.clld.org/parameters/2398
the Mentawai (Pagai & Sipora) list (no date)	709	pe͡igoe	NA	nangka	Artocarpus integrifolia, Jack fruit	nangka	475	479	458	FALSE												JACKFRUIT	2655	https://concepticon.clld.org/parameters/2655
the Mentawai (Pagai & Sipora) list (no date)	710	kapa	NA	ramboetan	Nephelium lappaceum	rambutan	476	480	459	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	711	roriat	NA	doerian	Durio zibethinus	durian	477	481	460	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	712	djamboe	NA	djamboe	Eugenia	jambu	478	482	461	FALSE												GUAVA	3981	https://concepticon.clld.org/parameters/3981
the Mentawai (Pagai & Sipora) list (no date)	713	samoeng	NA	langsat	Lansium domesticum	langsat	-	496	462	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	716	bago	NA	pisang (tamme)	banana	pisang	489	492	464	FALSE												BANANA	868	https://concepticon.clld.org/parameters/868
the Mentawai (Pagai & Sipora) list (no date)	717	sogo͡enei	NA	pisang (wilde)	banana (wild)	pisang (liar)	489	492	464	FALSE												PLANTAIN	399	https://concepticon.clld.org/parameters/399
the Mentawai (Pagai & Sipora) list (no date)	722	rîmau	NA	citroen	lemon	jeruk sitrun	493	497	-	FALSE												LEMON	3091	https://concepticon.clld.org/parameters/3091
the Mentawai (Pagai & Sipora) list (no date)	727	nêteu	NA	tjangkoedoe	Morinda atrocarpus	mangkudu	499	504	-	FALSE												NA	NA	https://concepticon.clld.org/parameters/NA
the Mentawai (Pagai & Sipora) list (no date)	729	kiniu	NA	kurkuma (koenjit)	Curcuma domestica	kunyit	500	505	467	FALSE												TURMERIC	2842	https://concepticon.clld.org/parameters/2842
the Mentawai (Pagai & Sipora) list (no date)	731	saˈsaˈ	NA	rotan	rattan, cane	rotan	501	506	469	FALSE												RATTAN	2497	https://concepticon.clld.org/parameters/2497
the Mentawai (Pagai & Sipora) list (no date)	732	okboek	NA	bamboe	bamboo	bambu	502	507	470	FALSE												BAMBOO	1927	https://concepticon.clld.org/parameters/1927
the Mentawai (Pagai & Sipora) list (no date)	733	sineboe	NA	jonge bamboespruit	bamboo shoot, young sprout	rebung	-	508	471	FALSE												BAMBOO SHOOT	2494	https://concepticon.clld.org/parameters/2494
the Mentawai (Pagai & Sipora) list (no date)	734	loina	NA	boom	tree	pohon	541	549	472	TRUE												TREE	906	https://concepticon.clld.org/parameters/906
the Mentawai (Pagai & Sipora) list (no date)	736	mangârai loina	NA	klimmen in een boom	to climb a tree	memanjat pohon	-	-	474	FALSE												CLIMB	1102	https://concepticon.clld.org/parameters/1102
the Mentawai (Pagai & Sipora) list (no date)	737	manâtara lêleu	NA	klimmen	to climb	memanjat	-	543	-	FALSE												CLIMB	1102	https://concepticon.clld.org/parameters/1102
the Mentawai (Pagai & Sipora) list (no date)	739/740	râu	NA	tak <unsp.>	branch	cabang	542	550	477	FALSE												BRANCH	1531	https://concepticon.clld.org/parameters/1531
the Mentawai (Pagai & Sipora) list (no date)	742-744	oengat	NA	wortel <unsp.>	root	akar	543	552	479	TRUE	root											ROOT	670	https://concepticon.clld.org/parameters/670
the Mentawai (Pagai & Sipora) list (no date)	746	boeloek	NA	blad	leaf	daun	544	553	481	TRUE												LEAF	628	https://concepticon.clld.org/parameters/628
the Mentawai (Pagai & Sipora) list (no date)	748	koelit	NA	schors	bark	kulit kayu	545	554	483	TRUE												BARK	1204	https://concepticon.clld.org/parameters/1204
the Mentawai (Pagai & Sipora) list (no date)	750	eket	NA	sap	sap	air (buah, pohon)	546	555	485	FALSE												SAP	345	https://concepticon.clld.org/parameters/345
the Mentawai (Pagai & Sipora) list (no date)	752	pinang	NA	pinang	Areca catechu LINN	pinang	496	500	361	FALSE												BETELNUT	217	https://concepticon.clld.org/parameters/217
the Mentawai (Pagai & Sipora) list (no date)	753	sâbbai	NA	sirih	betel	sirih	497	501	362	FALSE												BETEL PEPPER VINE	177	https://concepticon.clld.org/parameters/177
the Mentawai (Pagai & Sipora) list (no date)	754	moeno	NA	hars	resin	damar (umum)	548	556	-	FALSE												RESIN	664	https://concepticon.clld.org/parameters/664
the Mentawai (Pagai & Sipora) list (no date)	755	moeno	NA	damar	resin (from the damar tree)	damar (khusus dari pohon damar)	503	509	486	FALSE												RESIN	664	https://concepticon.clld.org/parameters/664
the Mentawai (Pagai & Sipora) list (no date)	757	toga	NA	spruit	sprout	tunas	549	557	-	FALSE												SPROUT (SHOOT)	3358	https://concepticon.clld.org/parameters/3358
the Mentawai (Pagai & Sipora) list (no date)	758	ogo	NA	bloem	flower	bunga	550	558	488	TRUE												FLOWER	239	https://concepticon.clld.org/parameters/239
the Mentawai (Pagai & Sipora) list (no date)	759	boea	NA	vrucht	fruit	buah	551	559	489	TRUE												FRUIT	1507	https://concepticon.clld.org/parameters/1507
the Mentawai (Pagai & Sipora) list (no date)	761	koelit	NA	schil	rind, peel	kulit buah	552	560	491	FALSE												SKIN (OF FRUIT)	2373	https://concepticon.clld.org/parameters/2373
the Mentawai (Pagai & Sipora) list (no date)	763	goilôoe	NA	pit	pip, stone	biji	553	561	493	FALSE												STONE (OF FRUIT)	1762	https://concepticon.clld.org/parameters/1762
the Mentawai (Pagai & Sipora) list (no date)	763	loeîkoe	NA	pit	pip, stone	biji	553	561	493	FALSE												STONE (OF FRUIT)	1762	https://concepticon.clld.org/parameters/1762
the Mentawai (Pagai & Sipora) list (no date)	764	baga	NA	vruchtvlees	the flesh of the fruit	daging buah	554	562	494	FALSE												FLESH	2259	https://concepticon.clld.org/parameters/2259
the Mentawai (Pagai & Sipora) list (no date)	765	sangoti	24	tros	bunch	rangkai, tangkai, tandan	555	563	495	FALSE				bunch of banana, coconuts								BUNCH	1966	https://concepticon.clld.org/parameters/1966
the Mentawai (Pagai & Sipora) list (no date)	766	toela	NA	olie	oil	minyak	556	564	496	FALSE												OIL (HYDROPHOBIC LIQUID)	2556	https://concepticon.clld.org/parameters/2556
the Mentawai (Pagai & Sipora) list (no date)	770	seˈseˈ	NA	gras	grass	rumput	485	488	500	TRUE												GRASS	606	https://concepticon.clld.org/parameters/606
the Mentawai (Pagai & Sipora) list (no date)	770	parou	NA	gras	grass	rumput	485	488	500	TRUE												GRASS	606	https://concepticon.clld.org/parameters/606
the Mentawai (Pagai & Sipora) list (no date)	771	parou	NA	onkruid	weeds	rumput	486	489	500	FALSE												WEED	3288	https://concepticon.clld.org/parameters/3288
the Mentawai (Pagai & Sipora) list (no date)	772	soa	NA	alang-alang	Imperata cylindria (Kunai grass)	lalang	487	490	501	FALSE												REED	659	https://concepticon.clld.org/parameters/659
the Mentawai (Pagai & Sipora) list (no date)	772	soai	NA	alang-alang	Imperata cylindria (Kunai grass)	lalang	487	490	501	FALSE												REED	659	https://concepticon.clld.org/parameters/659
the Mentawai (Pagai & Sipora) list (no date)	773	popo͡upou	NA	glagah	Saccharum spontaneum	gelagah	488	491	502	FALSE												REED	659	https://concepticon.clld.org/parameters/659
the Mentawai (Pagai & Sipora) list (no date)	773	lambâet	NA	glagah	Saccharum spontaneum	gelagah	488	491	502	FALSE												REED	659	https://concepticon.clld.org/parameters/659
the Mentawai (Pagai & Sipora) list (no date)	774	tarimese	NA	dier, beest	animal, beast	binatang	345	347	503	TRUE	animal											ANIMAL	619	https://concepticon.clld.org/parameters/619
the Mentawai (Pagai & Sipora) list (no date)	775	toga	NA	jong van dier (kalf, veulen, kuiken, etc.)	young of animal (calf, foal, chicken, etc.)	anak binatang	346	348	504	FALSE												ANIMAL	619	https://concepticon.clld.org/parameters/619
the Mentawai (Pagai & Sipora) list (no date)	778	leilei	NA	staart	tail	ekor	355	357	506	TRUE												TAIL	1220	https://concepticon.clld.org/parameters/1220
the Mentawai (Pagai & Sipora) list (no date)	779	dere	NA	poot	paw	kaki binatang	347	349	507	FALSE												PAW	2965	https://concepticon.clld.org/parameters/2965
the Mentawai (Pagai & Sipora) list (no date)	780	soengai	NA	hoef	hoof	kuku binatang	348	350	508	FALSE												HOOF	152	https://concepticon.clld.org/parameters/152
