cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	nt_tapah	nt_lekon	nt_simalur	Concepticon_Gloss	Concepticon_ID	concept_url
the Mentawai (Pagai & Sipora) list (no date)	89	tadda	NA	hiel	heel	tumit	-	-	74	FALSE												HEEL	980	https://concepticon.clld.org/parameters/980
the Mentawai (Pagai & Sipora) list (no date)	90	bakkapat	NA	dij	thigh	paha	50	51	75	FALSE												UPPER LEG (THIGH)	471	https://concepticon.clld.org/parameters/471
the Mentawai (Pagai & Sipora) list (no date)	91	taket bokolo	NA	knie	knee	lutut	51	52	76	TRUE												KNEE	1371	https://concepticon.clld.org/parameters/1371
the Mentawai (Pagai & Sipora) list (no date)	93	biti	NA	knit	calf	betis	52	53	78	FALSE												CALF OF LEG	498	https://concepticon.clld.org/parameters/498
the Mentawai (Pagai & Sipora) list (no date)	94	paloe	NA	scheen	shin	tulang kering	53	54	79	FALSE												SHIN	186	https://concepticon.clld.org/parameters/186
the Mentawai (Pagai & Sipora) list (no date)	95	para	NA	arm	arm	lengan	40	41	-	FALSE												ARM	1673	https://concepticon.clld.org/parameters/1673
the Mentawai (Pagai & Sipora) list (no date)	97	takep	NA	hand	hand	tangan	56	57	-	TRUE												HAND	1277	https://concepticon.clld.org/parameters/1277
the Mentawai (Pagai & Sipora) list (no date)	97	kabe	NA	hand	hand	tangan	56	57	-	TRUE												HAND	1277	https://concepticon.clld.org/parameters/1277
the Mentawai (Pagai & Sipora) list (no date)	99	matat keppa	NA	oksel	armpit	ketiak	42	43	82	FALSE												ARMPIT	1886	https://concepticon.clld.org/parameters/1886
the Mentawai (Pagai & Sipora) list (no date)	100	eto	NA	elleboog	elbow	siku	41	42	83	FALSE												ELBOW	981	https://concepticon.clld.org/parameters/981
the Mentawai (Pagai & Sipora) list (no date)	102	bagat takep	NA	handpalm	palm of the hand	telapak tangan	57	58	85	FALSE												PALM OF HAND	1183	https://concepticon.clld.org/parameters/1183
the Mentawai (Pagai & Sipora) list (no date)	105	singongai	NA	vingers	fingers	jari tangan (jamak)	58	59	-	FALSE												FINGER	1303	https://concepticon.clld.org/parameters/1303
the Mentawai (Pagai & Sipora) list (no date)	107	soelet	NA	nagel	(finger)nail	kuku	59	60	89	FALSE												FINGERNAIL OR TOENAIL	1896	https://concepticon.clld.org/parameters/1896
